# generated by scripts/generate_meta_columns_catalog.py with PYTHONHASHSEED=0
source	universe	gebrochen-rational-universum.csv	febff7430b3c1102384929537cfd5767c4bbcb4665eff514dc563e731824ce3f	47
combination	UniUni	stern	mul	76	8	7	7	2
combination	UniUni	stern	mul	77	2	5	5	2
combination	UniUni	stern	mul	78	7	12	12	7
combination	UniUni	stern	mul	79	7	5	5	7
combination	UniUni	gleichf	mul	0	5	6	2	5
combination	UniUni	gleichf	mul	1	2	9	9	10
combination	UniUni	gleichf	mul	2	9	10	5	18
combination	UniUni	gleichf	mul	3	7	3	3	7
combination	UniUni	gleichf	mul	4	3	8	2	3
combination	UniUni	gleichf	mul	5	3	7	7	12
combination	UniUni	gleichf	mul	6	2	7	7	8
combination	UniUni	gleichf	mul	7	7	8	2	7
combination	UniUni	gleichf	mul	8	6	5	5	18
combination	UniUni	gleichf	mul	9	2	5	5	4
combination	UniUni	gleichf	mul	10	2	9	3	8
combination	UniUni	gleichf	mul	11	2	9	3	4
combination	UniUni	gleichf	mul	12	2	7	7	12
combination	UniUni	gleichf	mul	13	5	3	3	5
combination	UniUni	gleichf	mul	14	7	8	8	7
combination	UniUni	gleichf	mul	15	7	2	2	7
combination	UniUni	gleichf	mul	16	6	7	7	6
combination	UniUni	gleichf	mul	17	10	7	7	10
combination	UniUni	gleichf	mul	18	2	3	3	2
combination	UniUni	gleichf	mul	19	9	10	2	9
combination	UniUni	gleichf	mul	20	3	8	8	3
combination	UniUni	gleichf	mul	21	3	7	7	3
combination	UniUni	gleichf	mul	22	5	8	4	5
combination	UniUni	gleichf	mul	23	5	18	9	10
combination	UniUni	gleichf	mul	24	17	6	6	17
combination	UniUni	gleichf	mul	25	6	5	5	6
combination	UniUni	gleichf	mul	26	7	4	2	7
combination	UniUni	gleichf	mul	27	3	4	4	3
combination	UniUni	gleichf	mul	28	5	2	2	5
combination	UniUni	gleichf	mul	29	6	7	7	12
combination	UniUni	gleichf	mul	30	3	5	5	18
combination	UniUni	gleichf	mul	31	3	4	2	9
combination	UniUni	gleichf	mul	32	5	4	2	5
combination	UniUni	gleichf	mul	33	5	18	3	5
combination	UniUni	gleichf	mul	34	4	3	3	8
combination	UniUni	gleichf	mul	35	4	3	3	4
combination	UniUni	gleichf	mul	36	8	3	3	8
combination	UniUni	gleichf	mul	37	16	17	17	16
combination	UniUni	gleichf	mul	38	3	2	2	3
combination	UniUni	gleichf	mul	39	9	10	10	9
combination	UniUni	gleichf	mul	40	8	5	5	8
combination	UniUni	gleichf	mul	41	4	7	7	8
combination	UniUni	gleichf	mul	42	2	7	7	4
combination	UniUni	gleichf	mul	43	5	6	3	5
combination	UniUni	gleichf	mul	44	8	7	7	8
combination	UniUni	gleichf	mul	45	7	5	5	7
combination	UniUni	gleichf	mul	46	2	9	3	2
combination	UniUni	gleichf	mul	47	3	8	4	3
combination	UniUni	gleichf	mul	48	2	7	7	10
combination	UniUni	gleichf	mul	49	2	5	5	18
combination	UniUni	gleichf	mul	50	3	8	2	9
combination	UniUni	gleichf	mul	51	2	7	7	6
combination	UniUni	gleichf	mul	52	7	8	4	7
combination	UniUni	gleichf	mul	53	7	6	3	7
combination	UniUni	gleichf	mul	54	3	7	7	9
combination	UniUni	gleichf	mul	55	2	7	7	2
combination	UniUni	gleichf	mul	56	5	8	8	5
combination	UniUni	gleichf	mul	57	7	12	3	7
combination	UniUni	gleichf	mul	58	7	9	3	7
combination	UniUni	gleichf	mul	59	7	10	2	7
combination	UniUni	gleichf	mul	60	4	5	5	4
combination	UniUni	gleichf	mul	61	12	7	7	12
combination	UniUni	gleichf	mul	62	6	17	17	6
combination	UniUni	gleichf	mul	63	2	5	5	6
combination	UniUni	gleichf	mul	64	5	7	7	5
combination	UniUni	gleichf	mul	65	5	4	4	5
combination	UniUni	gleichf	mul	66	7	10	10	7
combination	UniUni	gleichf	mul	67	17	16	16	17
combination	UniUni	gleichf	mul	68	5	7	7	10
combination	UniUni	gleichf	mul	69	7	9	9	7
combination	UniUni	gleichf	mul	70	4	7	7	4
combination	UniUni	gleichf	mul	71	7	4	4	7
combination	UniUni	gleichf	mul	72	2	5	5	8
combination	UniUni	gleichf	mul	73	5	18	6	5
combination	UniUni	gleichf	mul	74	7	6	6	7
combination	UniUni	gleichf	mul	75	4	5	5	8
combination	UniUni	gleichf	mul	76	5	8	2	5
combination	UniUni	gleichf	mul	77	3	5	5	3
combination	UniUni	gleichf	mul	78	3	4	2	3
combination	UniUni	gleichf	mul	79	3	2	2	9
combination	UniUni	gleichf	mul	80	2	3	3	8
combination	UniUni	gleichf	mul	81	2	3	3	4
combination	UniUni	gleichf	mul	82	7	6	2	7
combination	UniUni	gleichf	mul	83	7	12	6	7
combination	UniUni	gleichf	mul	84	7	10	5	7
combination	UniUni	gleichf	mul	85	10	9	9	10
combination	UniUni	gleichf	mul	86	5	18	2	5
combination	UniUni	gleichf	mul	87	7	12	4	7
combination	UniUni	gleichf	mul	88	5	6	6	5
combination	UniUni	gleichf	mul	89	7	12	2	7
combination	UniUni	gleichf	mul	90	3	5	5	6
combination	UniUni	gleichf	mul	91	2	5	5	2
combination	UniUni	gleichf	mul	92	3	7	7	6
combination	UniUni	gleichf	mul	93	4	7	7	12
combination	UniUni	gleichf	mul	94	7	12	12	7
combination	UniUni	gleichf	mul	95	9	7	7	9
combination	UniUni	gleichf	div	0	7	12	7	3
combination	UniUni	gleichf	div	1	7	9	7	3
combination	UniUni	gleichf	div	2	7	10	7	2
combination	UniUni	gleichf	div	3	5	18	5	2
combination	UniUni	gleichf	div	4	5	7	10	7
combination	UniUni	gleichf	div	5	2	9	4	3
combination	UniUni	gleichf	div	6	2	5	8	5
combination	UniUni	gleichf	div	7	2	9	2	3
combination	UniUni	gleichf	div	8	3	8	3	4
combination	UniUni	gleichf	div	9	3	7	6	7
combination	UniUni	gleichf	div	10	4	7	12	7
combination	UniUni	gleichf	div	11	7	12	7	4
combination	UniUni	gleichf	div	12	4	5	8	5
combination	UniUni	gleichf	div	13	5	18	5	3
combination	UniUni	gleichf	div	14	5	6	5	2
combination	UniUni	gleichf	div	15	4	7	8	7
combination	UniUni	gleichf	div	16	5	8	5	4
combination	UniUni	gleichf	div	17	7	4	7	2
combination	UniUni	gleichf	div	18	2	7	6	7
combination	UniUni	gleichf	div	19	5	17	10	17
combination	UniUni	gleichf	div	20	2	5	4	5
combination	UniUni	gleichf	div	21	2	7	4	7
combination	UniUni	gleichf	div	22	3	7	12	7
combination	UniUni	gleichf	div	23	3	4	3	2
combination	UniUni	gleichf	div	24	2	5	6	5
combination	UniUni	gleichf	div	25	7	12	7	6
combination	UniUni	gleichf	div	26	7	6	7	2
combination	UniUni	gleichf	div	27	5	18	5	6
combination	UniUni	gleichf	div	28	3	5	6	5
combination	UniUni	gleichf	div	29	5	6	5	3
combination	UniUni	gleichf	div	30	2	3	4	3
combination	UniUni	gleichf	div	31	2	9	8	3
combination	UniUni	gleichf	div	32	7	8	7	2
combination	UniUni	gleichf	div	33	2	7	12	7
combination	UniUni	gleichf	div	34	2	9	10	9
combination	UniUni	gleichf	div	35	7	8	7	4
combination	UniUni	gleichf	div	36	7	12	7	2
combination	UniUni	gleichf	div	37	2	7	10	7
combination	UniUni	gleichf	div	38	2	7	8	7
combination	UniUni	gleichf	div	39	7	10	7	5
combination	UniUni	gleichf	div	40	7	6	7	3
combination	UniUni	gleichf	div	41	4	3	8	3
combination	UniUni	gleichf	div	42	6	7	12	7
combination	UniUni	gleichf	div	43	3	8	3	2
combination	UniUni	gleichf	div	44	5	4	5	2
combination	UniUni	gleichf	div	45	5	18	10	9
combination	UniUni	gleichf	div	46	2	3	8	3
combination	UniUni	gleichf	div	47	3	7	9	7
combination	UniUni	gleichf	div	48	5	8	5	2
combination	UniGal	stern	mul	0	4	5	5	2
combination	UniGal	stern	mul	1	3	4	8	3
